B01003_001E,B01003_001EA,B01003_001M,B01003_001MA,GEO_ID,NAME,POPGROUP,POPGROUP_LABEL,POPGROUP,ucgid
4540,,567,,1400000US41005021802,Census Tract 218.02; Clackamas County; Oregon,001,Total population,001,1400000US41005021802
3504,,539,,1400000US41005021900,Census Tract 219; Clackamas County; Oregon,001,Total population,001,1400000US41005021900
6648,,676,,1400000US41005022000,Census Tract 220; Clackamas County; Oregon,001,Total population,001,1400000US41005022000
7183,,788,,1400000US41005022101,Census Tract 221.01; Clackamas County; Oregon,001,Total population,001,1400000US41005022101
6570,,700,,1400000US41005022105,Census Tract 221.05; Clackamas County; Oregon,001,Total population,001,1400000US41005022105
4186,,580,,1400000US41005022107,Census Tract 221.07; Clackamas County; Oregon,001,Total population,001,1400000US41005022107
3643,,464,,1400000US41005022108,Census Tract 221.08; Clackamas County; Oregon,001,Total population,001,1400000US41005022108
3444,,646,,1400000US41005022109,Census Tract 221.09; Clackamas County; Oregon,001,Total population,001,1400000US41005022109
4761,,666,,1400000US41005022110,Census Tract 221.10; Clackamas County; Oregon,001,Total population,001,1400000US41005022110
5651,,767,,1400000US41005022201,Census Tract 222.01; Clackamas County; Oregon,001,Total population,001,1400000US41005022201
4010,,534,,1400000US41005022205,Census Tract 222.05; Clackamas County; Oregon,001,Total population,001,1400000US41005022205
6855,,743,,1400000US41005022206,Census Tract 222.06; Clackamas County; Oregon,001,Total population,001,1400000US41005022206
6980,,608,,1400000US41005022207,Census Tract 222.07; Clackamas County; Oregon,001,Total population,001,1400000US41005022207
8438,,716,,1400000US41005022208,Census Tract 222.08; Clackamas County; Oregon,001,Total population,001,1400000US41005022208
4414,,439,,1400000US41005022301,Census Tract 223.01; Clackamas County; Oregon,001,Total population,001,1400000US41005022301
6443,,706,,1400000US41005022302,Census Tract 223.02; Clackamas County; Oregon,001,Total population,001,1400000US41005022302
4333,,548,,1400000US41005022400,Census Tract 224; Clackamas County; Oregon,001,Total population,001,1400000US41005022400
2909,,510,,1400000US41005022501,Census Tract 225.01; Clackamas County; Oregon,001,Total population,001,1400000US41005022501
4416,,668,,1400000US41005022502,Census Tract 225.02; Clackamas County; Oregon,001,Total population,001,1400000US41005022502
4832,,540,,1400000US41005022602,Census Tract 226.02; Clackamas County; Oregon,001,Total population,001,1400000US41005022602
3377,,328,,1400000US41005022603,Census Tract 226.03; Clackamas County; Oregon,001,Total population,001,1400000US41005022603
8364,,1267,,1400000US41005022605,Census Tract 226.05; Clackamas County; Oregon,001,Total population,001,1400000US41005022605
5895,,650,,1400000US41005022606,Census Tract 226.06; Clackamas County; Oregon,001,Total population,001,1400000US41005022606
6645,,546,,1400000US41005022702,Census Tract 227.02; Clackamas County; Oregon,001,Total population,001,1400000US41005022702
7779,,789,,1400000US41005022707,Census Tract 227.07; Clackamas County; Oregon,001,Total population,001,1400000US41005022707
4694,,737,,1400000US41005022708,Census Tract 227.08; Clackamas County; Oregon,001,Total population,001,1400000US41005022708
2875,,407,,1400000US41005022710,Census Tract 227.10; Clackamas County; Oregon,001,Total population,001,1400000US41005022710
4171,,646,,1400000US41005022800,Census Tract 228; Clackamas County; Oregon,001,Total population,001,1400000US41005022800
4422,,707,,1400000US41005022901,Census Tract 229.01; Clackamas County; Oregon,001,Total population,001,1400000US41005022901
3886,,461,,1400000US41005022904,Census Tract 229.04; Clackamas County; Oregon,001,Total population,001,1400000US41005022904
4346,,495,,1400000US41005022905,Census Tract 229.05; Clackamas County; Oregon,001,Total population,001,1400000US41005022905
3378,,464,,1400000US41005022906,Census Tract 229.06; Clackamas County; Oregon,001,Total population,001,1400000US41005022906
4084,,654,,1400000US41005022907,Census Tract 229.07; Clackamas County; Oregon,001,Total population,001,1400000US41005022907
3209,,417,,1400000US41005023001,Census Tract 230.01; Clackamas County; Oregon,001,Total population,001,1400000US41005023001
3898,,782,,1400000US41005023002,Census Tract 230.02; Clackamas County; Oregon,001,Total population,001,1400000US41005023002
5436,,714,,1400000US41005023100,Census Tract 231; Clackamas County; Oregon,001,Total population,001,1400000US41005023100
4556,,392,,1400000US41005023201,Census Tract 232.01; Clackamas County; Oregon,001,Total population,001,1400000US41005023201
9222,,1147,,1400000US41005023202,Census Tract 232.02; Clackamas County; Oregon,001,Total population,001,1400000US41005023202
5684,,590,,1400000US41005023300,Census Tract 233; Clackamas County; Oregon,001,Total population,001,1400000US41005023300
4708,,673,,1400000US41005023401,Census Tract 234.01; Clackamas County; Oregon,001,Total population,001,1400000US41005023401
5823,,665,,1400000US41005023403,Census Tract 234.03; Clackamas County; Oregon,001,Total population,001,1400000US41005023403
6418,,731,,1400000US41005023404,Census Tract 234.04; Clackamas County; Oregon,001,Total population,001,1400000US41005023404
5253,,752,,1400000US41005023500,Census Tract 235; Clackamas County; Oregon,001,Total population,001,1400000US41005023500
3536,,399,,1400000US41005023600,Census Tract 236; Clackamas County; Oregon,001,Total population,001,1400000US41005023600
5022,,712,,1400000US41005023700,Census Tract 237; Clackamas County; Oregon,001,Total population,001,1400000US41005023700
7067,,1164,,1400000US41005023800,Census Tract 238; Clackamas County; Oregon,001,Total population,001,1400000US41005023800
5713,,728,,1400000US41005023901,Census Tract 239.01; Clackamas County; Oregon,001,Total population,001,1400000US41005023901
6122,,801,,1400000US41005023902,Census Tract 239.02; Clackamas County; Oregon,001,Total population,001,1400000US41005023902
2588,,437,,1400000US41005024000,Census Tract 240; Clackamas County; Oregon,001,Total population,001,1400000US41005024000
5134,,779,,1400000US41005024100,Census Tract 241; Clackamas County; Oregon,001,Total population,001,1400000US41005024100
7246,,686,,1400000US41005024200,Census Tract 242; Clackamas County; Oregon,001,Total population,001,1400000US41005024200
5437,,726,,1400000US41005024302,Census Tract 243.02; Clackamas County; Oregon,001,Total population,001,1400000US41005024302
2858,,502,,1400000US41005024303,Census Tract 243.03; Clackamas County; Oregon,001,Total population,001,1400000US41005024303
2155,,351,,1400000US41005024304,Census Tract 243.04; Clackamas County; Oregon,001,Total population,001,1400000US41005024304
3171,,560,,1400000US41005024401,Census Tract 244.01; Clackamas County; Oregon,001,Total population,001,1400000US41005024401
5297,,680,,1400000US41005024402,Census Tract 244.02; Clackamas County; Oregon,001,Total population,001,1400000US41005024402
3549,,318,,1400000US41007950100,Census Tract 9501; Clatsop County; Oregon,001,Total population,001,1400000US41007950100
